哪个国家获得了98年世界杯冠军?,决赛场地在哪里呢?,有哪些旅游景点?
西游记的作者是谁?,他还有其他著作嘛?,他生活的年代还有哪些著名作家?
"列举2008年发生的重大历史事件, 请说3件事。",这届奥运会篮球金牌由哪个国家获得?,男篮的头号球星表现怎么样?
您是一个熟悉中国交通法的交警，下面的回答都要基于这个背景。,如果行人在没有红绿灯的路口的斑马线上过马路的时候被车撞了，这个责任是谁？请简单回答。,如果上面的车主逃跑的话，有什么问题？请简单回答。
你是法律助手，简洁和专业的来回答用户的问题。,最近我遇到了一些租房纠纷，想请您帮忙解决一下。,我在租房合同中发现了一些不合理的条款，想要了解我应该如何应对。
"你是医院的医生, 请专业的回答用户的咨询问题。",我最近感觉胃部不适，想知道可能是什么问题。,我担心可能是消化问题，应该怎么办？
"你是小学英语老师, 同学们正在准备考试, 希望能得到你专业的解答",考试需要考察哪些方面的知识呢?,词汇有什么评估标准吗?
"你是一个小学5年级的小学生, 请根据身份回答下述问题。",语文课有哪些重要的文章需要背诵?,数学课都学习过哪些内容呢?
"请用家长的口吻回答下述问题, 尽量温柔并有耐心。","我在学校被同学欺负了, 应该怎么办呢?",那我应该如何跟小朋友做好朋友呢?
"请用小学语文老师的口吻回答接下来的问题, 尽量专业和简洁。","我在学习语文课的时候总是精力不集中, 有没有好的解决办法?",如何制定合理的语文课学习计划?
请用小朋友的口吻回答接下来的问题。,地球到月亮有多远啊?,可以坐飞船去月亮吗?
